path,size_bytes,pages,text_pages,image_pages,total_text_chars,total_images,needs_password,open_error,likely_scanned_image_only,why
D:\code\Github\SLAC-test\SLAC\data\en\2018-03_Track_Rail_Infrastructure.pdf,18768818,565,565,99,1661438,111,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32013R0321%3AEN%3ATXT.pdf,1868017,56,56,6,143478,8,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1299%3AEN%3ATXT.pdf,1671592,109,109,12,238409,16,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1300%3AEN%3ATXT.pdf,961387,69,69,10,176274,15,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1301%3AEN%3ATXT.pdf,838810,49,49,4,114103,4,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1302%3AEN%3ATXT.pdf,1684141,166,166,10,457045,12,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1303%3AEN%3ATXT.pdf,533684,27,27,2,79794,2,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1304%3AEN%3ATXT.pdf,407221,17,17,0,46280,0,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1305%3AEN%3ATXT.pdf,726598,51,51,1,161581,1,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32019R0773%3AEN%3ATXT.pdf,3819116,84,84,13,198220,14,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32023R1695%3AEN%3ATXT.pdf,2596976,181,181,1,406346,1,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\GEGN8502-iss-2.pdf,6106060,78,78,6,178485,7,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\GEGN8618-Iss-1.pdf,816566,27,27,3,52935,11,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\GEGN8628-Iss-2.pdf,1800620,72,72,5,166349,6,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\gert8000-hb17-iss-5.pdf,2107559,24,24,2,21868,4,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\GIGN7608-Iss-3.pdf,1186556,64,64,1,152780,2,False,,False,
D:\code\Github\SLAC-test\SLAC\data\en\GMRT2045-Iss-4.pdf,1938030,67,67,5,184133,5,False,,False,
