Requirement ID,Type,Requirement,Design consequence in SLAC
F1,Functional,Heterogeneous document ingestion,"Support PDF, DOCX, TXT, and structured JSON inputs through a common preprocessing entry path."
F2,Functional,Preservation of structural information,"Retain headings, numbered clauses, list items, and inherited scope through a validated units-tree representation."
F3,Functional,Adaptive segmentation,Combine stable initial boundaries with local boundary refinement under practical constraints rather than using a fixed splitter.
F4,Functional,Multi-granularity retrieval,Provide both chunk-level and leaf-level access and combine semantic and lexical retrieval signals.
F5,Functional,Budget-aware evidence preparation,"Select, deduplicate, and organise evidence under token and item budgets before LLM invocation while preserving source traceability."
F6,Functional,Modular interoperability,"Expose well-defined stage inputs and outputs so that components can be rerun, debugged, or replaced independently."
F7,Functional,Interactive usability,"Support document upload, session-based indexing, and user-facing querying through an OpenWebUI bridge."
NF1,Non-functional,Reproducibility,"Use JSONL artefacts, YAML configuration, frozen schemas, and explicit run summaries so outputs can be reproduced and inspected."
NF2,Non-functional,Robustness to imperfect input,"Remain stable under OCR noise, formatting noise, and inconsistent structural cues through conservative early segmentation."
NF3,Non-functional,Controllability,"Expose practical controls such as atom size, chunk budget, retrieval top-k, and evidence token budgets."
NF4,Non-functional,Traceability and provenance,Retain evidence identifiers and source links so the system can report which evidence items supported an answer.
NF5,Non-functional,Architectural separation of concerns,"Keep OpenWebUI as a thin protocol adapter and separate retrieval, reranking, and integration into distinct stages."
